35,Casa para alugar,4
1,Calle del Forno,5
6,Calle Zolfo,5
16,Calle Tintoria,5
25,Casa Cotolengo,5
28,Edificio Perleri,5
11,Edificio San Giovanni,5
2,Fondamenta Arsenale,6
7,Calle Nuova,6
12,Calle Dei Scudi,6
17,Calle Lion,6
21,Casa Linger,6
26,Liasidi Palace,6
29,Edificio Faville,6
3,Calle Degolin,4
8,Calle San Bernardo,4
13,Calle Della Toleta,4
18,Calle dei Cercieri,4
22,Edificio Tiziano,4
27,Residenza Grandi Veduti,4
30,Edificio Guidecca Venezia,4
31,Calle Curnis,3
32,Calle dello Stivaleto,3
33,Calle Arco,3
34,Calle Cinque,3
37,Hotel Marconi,3
4,Calle del Carbon,2
9,Calle Frezzaria,2
14,Edificio Pallazo Paruta,2
19,Edificio Kette,2
23,Edificio The Gritti Palace,2
5,Fondamenta Condulmer,1
10,Calle Larga Clero,1
15,Fondamenta Malcantor,1
20,Calle Dario,1
24,Calle de Mezzo,1
36,Bauer Hotels,2
41,Cemitério,5
42,Tumba sob Universidade,4
38,Ruas de San Marco,3
40,Ruas de Castello,6
43,Ruas de Dorsoduro,4
39,Ruas de Cannaregio,5
44,Ruas de San Polo,2
45,Tumba sob Chiesa di San Giacomo di Rialto,3
